"%s cannot be added to the quotation in the requested quantity.","產品%s無法加入你要求的數量到詢價單清單中"
"%s cannot be ordered in requested quantity.","產品%s所要求的數量無法被訂購."
"%s cannot be quotated for in requested quantity.","產品%s所要求的數量之下無法被詢價."
"%s cannot be quotated for the requested quantity.","產品%s所要求的數量無法被詢價."
"%s days","%s 天"
"%s is available for quotation in increments of %s only.","%s 是僅對 %s 詢價單的增量而有效"
"*If you already ordered a license, you should receive your serial shortly","*如果你已訂購了一個使用權,你將很快到你的序號"
"-- Quote Status --","-- 詢價狀態 --"
"-- Remove Coupon --","-- 刪除 折價卷--"
"-- Select Coupon --","-- 選擇 折價卷 --"
"About This Quote:","關於這詢價單"
"Account","帳戶"
"Account Information","帳戶資訊"
"Action","動作"
"Action is blocked in quote confirmation mode","在詢價要求確認的狀態中所有操作是會被封鎖住的"
"ACTION_CUSTOMER","- 為客戶的行動"
"ACTION_OWNER","- 為商店擁有者的行動"
"Add","增加"
"Add Items to Cart","加入項目到購物車"
"Add more files...","更多檔案..."
"Add new Qty","增加新的數量"
"Add Qty","增加數量"
"Add Selected Product(s) to Advanced Quote","增加已選購的商品放入詢價單"
"Add to Cart","加入購物車"
"Add to Quote","加入詢價單"
"Address","地址"
"Adjustment Quote","修改詢價單"
"Adjustment Quote (%s)","修改詢價單(%s)"
"Adjustment Quote (Incl. default Tax)","調整詢價(公司預設稅率)"
"All items were moved to cart successfully.","所有項目成功地轉入購物車內."
"Are you sure you would like to remove this item from the quote?","你確定要將此產品從詢價清單中刪除?"
"Are you sure?","你確定嗎?"
"Assigned to","被指派到"
"Assigned To","被指派到"
"Attach file","附件檔案"
"Attach Files to Proposal Email","附件檔案為報價電子郵箱"
"Auto proposal","自動提單"
"Available Shipping Methods","可選用的送貨方法"
"Back to My Quotes","返回我的詢價單"
"Billing address wasn't added","付款地址並未填寫"
"Billing details","付款詳細資訊"
"By deleting an item, you will create a new quote request. Do you want to do this?","經由刪除一個項目你將可以重新產生一個詢價需求. 你想如此做嗎?"
"Can not add client note request to the product.","無法加入顧客附著要求到產品少上."
"Can not add customer address.","無法加入顧客地址."
"Can not add one of the items to quote request.","無法加入詢價要求其中的一個品項."
"Can not add quote history.","無法加入詢價歷史檔中"
"Can't remove item","無法刪除項目"
"Can't update quote list","無法更新詢價要求"
"Cancel","取消"
"Cancel Quote","取消詢價"
"Cannot configure product.","無法配置商品"
"Cannot update the item.","無法更新項目"
"Change status","改變狀態"
"Change to Quotation mode?","切換到詢價單模式"
"Checking..","檢查中.."
"City","市"
"Comment with Product","商品的評價"
"Company","公司"
"Confirm and CheckOut","確認與結帳"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue Trial","繼續試用"
"Copy to Quotation","複製到詢價單"
"Copy to Quotation?","要複製到詢價單嗎?"
"Cost Price","成本價格"
"Could not create cart2quote export folder: ","無法建立cart2quote輸出的目錄"
"Could not export quotes","無法輸出詢價單"
"Could not find user with email address: %s","無法找到使用者'%s'電子郵件地址"
"Could not load Coupon Code","無法切換到折價卷模式"
"Could not recalculate Quote Price","無法重新計算詢價單價格"
"Couldn't auto check out because one or more products are bundle products","因為有一個或一個以上產品是產品套件"
"Country","國家"
"Coupon Code %s","折價卷編碼:%s "
"Coupon Type '%s' not supported"," '%s'的折價卷型態是不支援的"
"Create New Quote","產生新的詢價"
"Create Order","產生訂單"
"Create Quotation","產生詢價單"
"Created On","產生在"
"Currently no shipping methods are available","目前沒有任何送貨方式可採用"
"Customer email already exists. You should login <a href=%s>here</a>","顧客電子信箱已存在. 你(妳)應該登入 <a href=%s>在此</a>"
"Customer Group","顧客群組"
"Customer Name","顧客名稱"
"Customer not recognized for new quote","對新的詢價客戶無法認可"
"Customer's email was undefined","顧客電子信箱未填入"
"Date","日期"
"Date of Proposal","提案日期"
"Delete","刪除"
"Delete Group","刪除群組"
"Diliver Method","送貨的方示式"
"Discount (%s)","折價 (%s)"
"Do not notify customer","請勿通知客戶"
"Do you have a general remark with your quote request?","這次詢價單內有無一般的評論?"
"Duplicate value entered","重複數值被輸入"
"Edit","編輯"
"Edit products","編輯產品"
"Edit Quote","編輯詢價單"
"Edit Request","編輯要求"
"Email","電子郵件"
"Email Address","電子郵件地址"
"Email already exists","電子郵件地址已存在"
"Email was sent to client","電子郵件已經被送到客護戶端"
"Empty Quote","清楚詢價單"
"Enter custom price excluding tax","輸入未稅的定價"
"Enter custom price including default tax","輸入含稅的定價"
"Enter Fixed Price","輸入固定價格"
"Enter new Quote Subtotal","輸入新的詢價的小計"
"Enter Percentage","輸入百分比"
"Enter Quote Reduction","輸入詢價折扣"
"Enter your billing address details.","輸入付款地址詳細資料"
"Enter your comments at any time. Click Update Quote to save your changes.","當你完成購勿後,請輸入你建議,所需數量及細節並靜後通告.當你離開這個視窗而沒有送出,你的資訊將會遺失.如果你有帳號,請先登入."
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted.","請輸入送貨地點. 除非有其他的要求, 我們採標準送貨程序."
"Enter your personal information to place a Quote Request.","輸入個人資料以便進行詢價"
"Expiry Date","到期日"
"Extension","擴充套件"
"File","檔案"
"File Upload","檔案上傳"
"Filter quotes","篩選詢價"
"First Name","名字"
"First save this Quotation","首先儲存詢價單"
"Fixed Price Per Order","依訂購量定價"
"Fixed Quote Total was not a valid decimal number","固定的詢價單總價不是有效的10進位的數字"
"Fixed Shipping & Handling price","定型送貨方式 & 價格處理"
"Follow Up","後續追蹤"
"Follow up","後續追蹤"
"Follow Up Date","後續追蹤日其期"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","為了讓前台刊看的得到 這個模組,請設定'使用 Cart2Quote 外掛' 為 'Yes'或者去調整到客製主題檔案中."
"General Comment","一般評論"
"Get Shipping Estimates","取得送貨的估價"
"If the end user has no previous assigned sales representative the quote will be assigned to <strong>%s</strong>.","如果終端用戶沒有指定銷售代表,這循詢價單將會指派到<strong>%s</strong>"
"In Process","處理中"
"in process...","在處理中..."
"Incl. default Tax","預設增值稅"
"incorrect first parameter for checkQtyIncrements should be product or product_id","checkQtyIncrements第一個參數不正確,應該是產品名稱或是產品編號"
"incorrect first parameter for checkQuantities should be product or product_id","checkQuantities第一個參數不正確,應該是產品名稱或是產品編號"
"incorrect parameter for isInStock should be product or product_id","isInStock第一個參數不正確,應該是產品名稱或是產品編號"
"Internal Comment","內部意見"
"Item #%s was't updated","產品 #%s 無法被更新"
"Item %s is out of stock and cannot be ordered.","產品: %s 目前缺貨中無法被訂購"
"item %s is out of stock."," %s 這項產品目前缺貨中."
"Item %s wasn't moved to Shopping cart","項木目 %s 無法搬到購物車中 "
"Item %s wasn't removed from Quote mode","詢價請求處理狀態下無法移除 %s 項目."
"Item Manager","項目管理者"
"Item was deleted successfully.","項目已成功地刪除"
"Item was moved to cart successfully.","項目已成功地移入購物車."
"Item was moved to quote successfully."," 項目已成功地移入詢價單."
"Item(s) were moved from Quote to Order mode successfully.","產品項目已成功地從詢價單移入到購物車."
"Item(s) were moved to Quote mode successfully.","產品已成功地轉入詢價單"
"Items Manager","產品項目管理者"
"Items Quoted","已被詢價的項目"
"Last Name","姓"
"Link to the New Quote","連結到新的詢價單"
"Link to the Previous Quote","連結到之前的詢價單"
"Linked Orders","連結訂單"
"Linked Quote Request","連結詢價請求 "
"Loading","載入中"
"Log out from quote confirmation mode","從詢價確認模式中登出"
"Logged in admin user","紀錄於管理者之下"
"Logged in admin user with rotate fallback","紀錄於管理者之下以便能作回復的動作"
"Logged in admin user with rotation fallback","紀錄於管理者之下以便能作回復的動作"
"Margin (GP)","毛利率"
"Menu","選單"
"Message History","訊息記錄"
"Message template","訊息模板"
"Minimum of one Qty is required","至少需要書輸入一個數量"
"Module is disabled","模組已被關閉"
"Move to Shopping cart","轉入購物車"
"My Quote","我的詢價單"
"My Quote (%s item)","我的詢價單 (%s 項目)"
"My Quote (%s items)","我的詢價單(%s 項目)"
"My Quotes","我的詢價單"
"No Coupon Code Applied","無折價卷條碼可運用"
"No Coupon Codes Available","無折價卷條碼組可運用"
"No Files are available.","?有檔案·"
"No Follow Up date","無追蹤日期"
"No item in quote.","在詢價表格中沒有產品項目."
"No Items to display.","沒有項目可展示."
"No Payment Information Required","有付款資料要求"
"No profit, increase Price(s)","無利潤, 增加價格"
"No quotes selected to export","沒有被選擇地詢價單來匯出"
"No thanks I will keep using this free version","不!謝謝!我將繼續使用免費版本 "
"No thanks I will use the free version","不!謝謝!我將使用免費版本"
"Not visible for customers","客戶無法讀取"
"Notes with Product:","產品說明:"
"Notify Customer by Email","透過電子郵件通知客戶"
"Old status could not be determined","舊的狀態無法被決定"
"Original Price","原使始價格"
"Per Item","以單位計價"
"Please select required qty and check out online to see applicable price.","請選擇需要的數量及進行線上付款來看實際可行的價格."
"Please specify product quantity.","請輸入產品的數量."
"Please upgrade to Cart2Quote Starter or higher to use this feature","請更新Cart2Quote Starter到更高階版本來使用此功能"
"Price","價格"
"Price Proposal","建議價格"
"Price_proposal_%s","%s 的建議價格"
"Print Quote","列印詢價單"
"Print Quote ","列印詢價單"
"Product","產品"
"Product %s successfully added to Quote Request","%s 產品已成功加入詢價單"
"Product cannot be added to quote list","產品無法加入詢價清單"
"Product image","產品圖片"
"Product Information","產品資訊"
"Product name","產品名稱"
"Product Name","產品名稱"
"Product: ""%s"" could not be added to the cart","產品: ""%s"" 無法加入購物車"
"Profit is based on entered cost prices","利潤是以輸入的成本價為基礎"
"Proposal","報價單"
"Proposal valid until","此項報價有效期限到"
"Proposal Valid Until: %s","此項報價有效期限為 %s"
"Proposal was not sent, no profit","報價單無法發送,沒有"
"Purchase a License*","購買一個正式授權碼"
"Qquote cancel email was't sent to admin for quote #%s","取消詢價的電子郵件無法送出到管理者來處理詢價的服務 #%s"
"Qquote proposal email was't sent to the client for quote #%s","對客戶報價的電子郵件無法送出到客戶作報價之動作 #%s"
"Qquote reject email was't sent to admin for quote #%s","詢價被拒絕電子郵件無法發宋到詢價的管理者"
"Qquote request email was't sent to admin for quote #%s","詢價單的電子郵件無法送出到管理者作詢價的動作 #%s"
"QTY","數量"
"Qty","數量"
"Quotation #%s","詢價單 #%s"
"Quotation #%s - Proposal"," 詢價請求 #%s"
"Quotation #%s was rejected","詢價單 #%s 已被拒絕及退回."
"Quotation Date: %s","詢價單日期: %s"
"Quotation Management","詢價單管理"
"Quotations","詢價單"
"Quote","詢價"
"Quote #","詢價 #"
"Quote # %s","詢價 # %s"
"Quote # %s | Quote Date %s"," 詢價請求# %s | 詢價請求日期 %s"
"Quote could not be saved.","詢價單無法儲存"
"Quote Information","詢價資訊"
"Quote is currently on hold","詢價單目前被擱置中"
"Quote is succesfully unhold!","詢價單目前成功地解除被擱置狀態"
"Quote item is not found.","找不到詢價的品項."
"Quote list was updated successfully."," 詢價表單已被成功地更新."
"Quote profit","詢價的利潤"
"Quote profit (%s)","詢價的利潤 (%s)"
"Quote Proposal","詢價的提單"
"Quote Reduction was not a valid decimal number","詢價的折扣並不是有效的十位數字"
"Quote Request","詢價要求"
"Quote request","詢價請求"
"Quote Request in Process, wait for price proposal Shop owner","詢價的請求處理中, 等待商家報價"
"Quote request is converted from %d%% VAT to %d%% VAT.","詢價要求已被轉換從%d%% VAT 到 %d%% VAT."
"Quote status","詢價狀態"
"Quote Status","詢價請求的狀態"
"Quote subtotal (%s)","詢價的小計 (%s)"
"Quote Totals","詢價總計"
"Quote view","瀏覽詢價內容"
"Quote was saved with errors","詢價單儲存時發生錯誤"
"Quote was successfully canceled","詢價的請求已被成功地取消"
"Quote was successfully saved","詢價的請求已被儲存"
"Quote will be assigned to <strong>%s</strong>"," 詢價單將被指派到<strong>%s</strong>"
"Recalculate","重新計算"
"Reject Proposal","退回提單"
"Remark with Proposal","提單的評語"
"Remarks","評語"
"Reminder Date","提醒日期"
"Remove","移除"
"Remove Current Rate ?","移除目前價格"
"Remove item","移除項目"
"Request a shipping quote","要求一項送貨的報價"
"Request for Quote","詢價需求"
"Request information","產品評論"
"Request quote","送出詢價單"
"Requested information","產品評語"
"Reset Follow up","重置追蹤"
"Resubmit Quote","重新送出詢價單"
"RFQ From","RFQ 表格"
"Rotate admin role","轉換為管理者角色"
"Rotation","轉換"
"Save Quote","儲存詢價"
"Select an address","選擇一個地址"
"Select in Checkout","在結帳過程中選擇"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","對每項產品選擇一個數量. (當你正在編輯此項產品,在這個畫面你將能夠重新進入額外的批量處裡.)"
"Select Qty","選擇數量"
"Send Message","寄出訊息"
"Sending proposal Email is disabled","傳送提案電子郵件功能已被關閉"
"Set Follow Up date","設定後續追蹤日期"
"Shipping & Handling (Excl. Tax)","送貨&處理 (未稅)"
"Shipping & Handling (Incl. Tax)","送貨&處理 (含稅)"
"Shipping & Handling price per Item","送貨 & 以每項目計價"
"Shipping & Handling price varies.","送貨 & 以不同的組合計價."
"Shipping Address","送貨Address"
"Shipping Address is same as Billing Address","送貨地址與付款地址相同"
"Shipping details","送貨詳細資訊"
"Shipping Estimate","送貨估價"
"Shipping Method","送貨方法"
"Sku","SKU"
"SKU","SKU"
"State/Province","州/省"
"Status","狀態"
"Status changed to","狀態更新到"
"Status update (system message)","狀態更新(系統訊息)"
"STATUS_AUTO_PROPOSAL","提單已被送出"
"STATUS_BEGIN","正在開始"
"STATUS_CANCELED","提單已取消"
"STATUS_CONFIRMED","提單已接受"
"STATUS_CONFIRMED_ALTERNATE","提單被接收, 但未訂購"
"STATUS_DENIED","提單已被拒絕"
"STATUS_ORDERED","已訂購"
"STATUS_PROPOSAL","提單已業務代表送出"
"STATUS_PROPOSAL_BEGIN","提單已產生,但還未送出"
"STATUS_PROPOSAL_EXPIRED","提單已過期"
"STATUS_PROPOSAL_SAVED","報價單被停置中"
"STATUS_REQUEST","處理中"
"STATUS_REQUEST_EXPIRED","要求已過期"
"Submit Comment","送出意見"
"Submit Quote","送出詢價單"
"SUBSTATUS_CANCELLED_SUB100","- 已無存貨"
"SUBSTATUS_PROPOSAL_SUB100","- 由銷售代表所產生的建議"
"SUBSTATUS_PROPOSAL_SUB200","- 經由銷售代表聯繫客戶"
"SUBSTATUS_PROPOSAL_SUB300","- 付款程序被停置中"
"SUBSTATUS_REJECTED_SUB100","- 傳送新的詢價單給顧客"
"SUBSTATUS_SAVED_SUB100","- 詢價目前被擱置"
"SUBSTATUS_SAVED_SUB200","- 等待供貨中"
"Subtotal","小計"
"Subtotal Original (%s)","(%s)的原始小計"
"Surcharge","附加費"
"Tax","稅"
"Telephone","電話"
"Thank you for your interest!","感謝對本公司產品的喜愛!"
"Thanks for trying Cart2Quote!","感謝試用我們Cart2Quote產品"
"The %s you entered is invalid. Please make sure that it follows 'http://domain.com/' format.","你所輸入 %s 是無效的. 請確認下列的 'http://domain.com/' 格式."
"The cart2quote export folder is not writable: ","這個cart2quote輸出的目錄無法被寫入:"
"The Cart2Quote template files are disabled."," Cart2Quote模組檔案已被停用."
"The CSV export function is only available in Cart2Quote Enterprise. To update please go to <a href='https://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>https://www.cart2quote.com</a>","這個CSV匯出功能僅有此功能企業版才有,要更新請到<a href='https://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>https://www.cart2quote.com</a>"
"The following item will not be added to the quotation list if you continue:","如果你繼續話.下列項目將無法加入詢價單內:"
"The maximum quantity allowed for quotation for %s is %s.","這次產品 %s 詢價最大訂購量是 %s."
"The minimum quantity allowed for quotation for %s is %s.","這次產品 %s 詢價最小訂購量是 %s."
"The product ""%s"" could not be added. (No user rights)"," 產品 ""%s"" 無法被加入(無使用者權限)"
"There are <a href=""%s"">%s items</a> in your quote."," 這裡有 <a href=""%s"">%s 的項目</a> 在你的估價中"
"There are no printable documents related to selected quotes"," 對於此所選擇的詢價單無可列印文件"
"There was an error, because the customer address was undefined","有個錯誤發生, 原因是客戶地址未填"
"There was an error, because the customer shipping address was undefined","有個錯誤發生, 原因是客戶送貨地址未填"
"There was an error, because the product quantities were not defined","有個錯誤發生, 原因是產品數量未輸入"
"This function is only available in the enterprise edition. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>","此功能企業版才有<a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>更新</a>"
"This order list contains items that cannot quoted.","購物車內的商品無法被詢價."
"This Quote has been created with another version of Cart2Quote. To experience <strong>the full power of Cart2Quote</strong>, create a new quote with this free version!<br /><br /> You are now using a Free Trial version of Cart2Quote, but you can simply <strong>unlock the back-end features and all quotes again</strong> by ordering a license.","此詢價單是由另外一個 Cart2Quote版本所產生,要想體驗<strong>Cart2Quote完整功能</strong>, 使用這個免費版本產生一個詢價<br /><br /> 你正使用免費版本的Cart2Quote, 但你可以簡單地訂購一個授權螞碼<strong>來打開後台的這些功能</strong> ."
"This quote list contains items that cannot ordered.","詢價單內的產品無法訂購."
"This quote no longer exists.","此詢價單不存在"
"Tier/Qty","批/數量"
"Title","標題"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","加入一項產品到詢價單 <a href='%s'>登出</a> 從詢價確認."
"To change your currency <a href='%s'>log out</a> from Quote confirmation mode.","改變你的幣值 <a href='%s'>登出</a> 從詢價確認狀態中."
"To create an order, select product(s) and quantity","下訂單, 選擇產品與數量"
"To sent a proposal enable this product.","發送提單來讓這項產品生效"
"To update item in the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","更新購務車內的項目,從詢價確認狀態中 <a href='%s'>登出</a>"
"Unable to find item to save","無法找到項目儲存"
"Unit price","單價"
"Update Quotation","更新詢價單"
"Update Quote","更新詢價"
"Url","Url"
"Use alternative url","使用替代的網址"
"Use Default Billing and Shipping Address","使用預設的付款與送貨地址"
"Use Store Settings","使用商店設定"
"User Telephone","使用者電話"
"View","瀏覽"
"View Details","瀏覽詳細內容"
"View Quote","瀏覽詢價單"
"Visit customer dashboard for more options","前往客戶儀表盤設定更多選項"
"We offer the following delivery options. Multiple options can be selected.","我們提供下列送貨方式, 可以複選"
"Wrong transactional account email type.","錯誤的電子郵件格式"
"Yes and required","是的且是必需的"
"Yes take me there","是的帶我到那裡"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","你現在處於詢價確認狀態中, <a href='%s'>登出</a>."
"You are in a quote edit mode, <a href='%s'>log out</a>.","你現在處於詢價編輯狀態中, <a href='%s'>登出</a>."
"You can leave a box blank if you don't wish to add a gift message for whole order","你可以留下空白欄，如果你不希望為訂單添加一個禮物訊息"
"You have no items in your quote.","你的詢價單內沒有產品項目"
"You have placed no quotes.","你還未提出詢價的動作."
"You log out successfully from Quote confirmation mode.","你已在詢價確認狀態中成功地登出."
"You may request a quote without any obligations","你可以盡情進行詢價而不具有法律約束力和義務"
"You will receive a quote cancellation confirmation email.","你將會收到詢價取消的確認電子郵件"
"You will receive a quote confirmation email with a link to track progress.","你將會收到詢價確認的電子郵件與相關連結來追蹤此項處理的過程."
"You're welcome to place a new Request for Quote","歡迎重新設定新的詢價需求"
"Your quote request # is: %s.","你的詢價要求 # 是: %s."
"Your quote request has been cancelled","你的詢價要求已被取消"
"Your quote request has been received","你的詢價要求已被處理"
"Your Trial has expired","測試已到期"
"Your Trial has expired for this Quote","這次詢價測試已到期"
"Zip/Postal Code","郵遞區號"
